	2theta	BCC_112	2theta	BCC_200	2theta	BCC_220	2theta	BCC_110/FCC_111	2theta	FCC_200	2theta	FCC_222	2theta	FCC_311
104.00000	79.39496	00.00000	63.19496	00.00000	94.19496	00.00000	43.79496	00.00000	49.99496	00.00000	91.19496	00.00000	86.79496	00.00000
105.00000	79.38670	00.00000	63.18670	00.00000	94.18670	00.00000	43.78670	00.00000	49.98670	00.00000	91.18670	00.00000	86.78670	00.00000
106.00000	79.37844	00.00000	63.17844	00.00000	94.17844	00.00000	43.77844	00.00000	49.97844	00.00000	91.17844	00.00000	86.77844	00.00000
107.00000	79.37018	00.00000	63.17018	00.00000	94.17018	00.00000	43.77018	00.00000	49.97018	00.00000	91.17018	00.00000	86.77018	00.00000
108.00000	79.36192	00.00000	63.16192	00.00000	94.16192	00.00000	43.76192	00.00000	49.96192	00.00000	91.16192	00.00000	86.76192	00.00000
109.00000	79.35366	00.00000	63.15366	00.00000	94.15366	00.00000	43.75366	00.00000	49.95366	00.00000	91.15366	00.00000	86.75366	00.00000
110.00000	79.34540	00.00000	63.14540	00.00000	94.14540	00.00000	43.74540	00.00000	49.94540	00.00000	91.14540	00.00000	86.74540	00.00000
111.00000	79.33714	00.00000	63.13714	00.00000	94.13714	00.00000	43.73714	00.00000	49.93714	00.00000	91.13714	00.00000	86.73714	00.00000
112.00000	79.32888	00.00000	63.12888	00.00000	94.12888	00.00000	43.72888	00.00000	49.92888	00.00000	91.12888	00.00000	86.72888	00.00000
113.00000	79.32062	00.00000	63.12062	00.00000	94.12062	00.00000	43.72062	00.00000	49.92062	00.00000	91.12062	00.00000	86.72062	00.00000
114.00000	79.31236	00.00000	63.11236	00.00000	94.11236	00.00000	43.71236	00.00000	49.91236	00.00000	91.11236	00.00000	86.71236	00.00000
115.00000	79.30410	00.00000	63.10410	00.00000	94.10410	00.00000	43.70410	00.00000	49.90410	00.00000	91.10410	00.00000	86.70410	00.00000
116.00000	79.29584	00.00000	63.09584	00.00000	94.09584	00.00000	43.69584	00.00000	49.89584	00.00000	91.09584	00.00000	86.69584	00.00000
117.00000	79.28758	00.00000	63.08758	00.00000	94.08758	00.00000	43.68758	00.00000	49.88758	00.00000	91.08758	00.00000	86.68758	00.00000
118.00000	79.27932	00.00000	63.07932	00.00000	94.07932	00.00000	43.67932	00.00000	49.87932	00.00000	91.07932	00.00000	86.67932	00.00000
